Name,State,Population
Autauga County,Alabama,55869
Baldwin County,Alabama,223234
Barbour County,Alabama,24686
Bibb County,Alabama,22394
Blount County,Alabama,57826
Bullock County,Alabama,10101
Butler County,Alabama,19448
Calhoun County,Alabama,113605
Chambers County,Alabama,33254
Cherokee County,Alabama,26196
Chilton County,Alabama,44428
Choctaw County,Alabama,12589
Clarke County,Alabama,23622
Clay County,Alabama,13235
Cleburne County,Alabama,14910
Coffee County,Alabama,52342
Colbert County,Alabama,55241
Conecuh County,Alabama,12067
Coosa County,Alabama,10663
Covington County,Alabama,37049
Crenshaw County,Alabama,13772
Cullman County,Alabama,83768
Dale County,Alabama,49172
Dallas County,Alabama,37196
DeKalb County,Alabama,71513
Elmore County,Alabama,81209
Escambia County,Alabama,36633
Etowah County,Alabama,102268
Fayette County,Alabama,16302
Franklin County,Alabama,31362
Geneva County,Alabama,26271
Greene County,Alabama,8111
Hale County,Alabama,14651
Henry County,Alabama,17205
Houston County,Alabama,105882
Jackson County,Alabama,51626
Jefferson County,Alabama,658573
Lamar County,Alabama,13805
Lauderdale County,Alabama,92729
Lawrence County,Alabama,32924
Lee County,Alabama,164542
Limestone County,Alabama,98915
Lowndes County,Alabama,9726
Macon County,Alabama,18068
Madison County,Alabama,372909
Marengo County,Alabama,18863
Marion County,Alabama,29709
Marshall County,Alabama,96774
Mobile County,Alabama,413210
Monroe County,Alabama,20733
Montgomery County,Alabama,226486
Morgan County,Alabama,119679
Perry County,Alabama,8923
Pickens County,Alabama,19930
Pike County,Alabama,33114
Randolph County,Alabama,22722
Russell County,Alabama,57961
Shelby County,Alabama,217702
St. Clair County,Alabama,89512
Sumter County,Alabama,12427
Talladega County,Alabama,79978
Tallapoosa County,Alabama,40367
Tuscaloosa County,Alabama,209355
Walker County,Alabama,63521
Washington County,Alabama,16326
Wilcox County,Alabama,10373
Winston County,Alabama,23629
Aleutians East Borough,Alaska,3337
Aleutians West Census Area,Alaska,5634
Anchorage Municipality,Alaska,288000
Bethel Census Area,Alaska,18386
Bristol Bay Borough,Alaska,836
Denali Borough,Alaska,2097
Dillingham Census Area,Alaska,4916
Fairbanks North Star Borough,Alaska,96849
Haines Borough,Alaska,2530
Hoonah-Angoon Census Area,Alaska,2148
Juneau City and Borough,Alaska,31974
Kenai Peninsula Borough,Alaska,58708
Ketchikan Gateway Borough,Alaska,13901
Kodiak Island Borough,Alaska,12998
Kusilvak Census Area,Alaska,8314
Lake and Peninsula Borough,Alaska,1592
Matanuska-Susitna Borough,Alaska,108317
Nome Census Area,Alaska,10004
North Slope Borough,Alaska,9832
Northwest Arctic Borough,Alaska,7621
Petersburg Borough,Alaska,3266
Prince of Wales-Hyder Census Area,Alaska,6203
Sitka City and Borough,Alaska,8493
Skagway Municipality,Alaska,1183
Southeast Fairbanks Census Area,Alaska,6893
Valdez-Cordova Census Area,Alaska,9202
Wrangell City and Borough,Alaska,2502
Yakutat City and Borough,Alaska,579
Yukon-Koyukuk Census Area,Alaska,5230
Apache County,Arizona,71887
Cochise County,Arizona,125922
Coconino County,Arizona,143476
Gila County,Arizona,54018
Graham County,Arizona,38837
Greenlee County,Arizona,9498
La Paz County,Arizona,21108
Maricopa County,Arizona,4485414
Mohave County,Arizona,212181
Navajo County,Arizona,110924
Pima County,Arizona,1047279
Pinal County,Arizona,462789
Santa Cruz County,Arizona,46498
Yavapai County,Arizona,235099
Yuma County,Arizona,213787
Arkansas County,Arkansas,17486
Ashley County,Arkansas,19657
Baxter County,Arkansas,41932
Benton County,Arkansas,279141
Boone County,Arkansas,37432
Bradley County,Arkansas,10763
Calhoun County,Arkansas,5189
Carroll County,Arkansas,28380
Chicot County,Arkansas,10118
Clark County,Arkansas,22320
Clay County,Arkansas,14551
Cleburne County,Arkansas,24919
Cleveland County,Arkansas,7956
Columbia County,Arkansas,23457
Conway County,Arkansas,20846
Craighead County,Arkansas,110332
Crawford County,Arkansas,63257
Crittenden County,Arkansas,47955
Cross County,Arkansas,16419
Dallas County,Arkansas,7009
Desha County,Arkansas,11361
Drew County,Arkansas,18219
Faulkner County,Arkansas,126007
Franklin County,Arkansas,17715
Fulton County,Arkansas,12477
Garland County,Arkansas,99386
Grant County,Arkansas,18265
Greene County,Arkansas,45325
Hempstead County,Arkansas,21532
Hot Spring County,Arkansas,33771
Howard County,Arkansas,13202
Independence County,Arkansas,37825
Izard County,Arkansas,13629
Jackson County,Arkansas,16719
Jefferson County,Arkansas,66824
Johnson County,Arkansas,26578
Lafayette County,Arkansas,6624
Lawrence County,Arkansas,16406
Lee County,Arkansas,8857
Lincoln County,Arkansas,13024
Little River County,Arkansas,12259
Logan County,Arkansas,21466
Lonoke County,Arkansas,73309
Madison County,Arkansas,16576
Marion County,Arkansas,16694
Miller County,Arkansas,43257
Mississippi County,Arkansas,40651
Monroe County,Arkansas,6701
Montgomery County,Arkansas,8986
Nevada County,Arkansas,8252
Newton County,Arkansas,7753
Ouachita County,Arkansas,23382
Perry County,Arkansas,10455
Phillips County,Arkansas,17782
Pike County,Arkansas,10718
Poinsett County,Arkansas,23528
Polk County,Arkansas,19964
Pope County,Arkansas,64072
Prairie County,Arkansas,8062
Pulaski County,Arkansas,391911
Randolph County,Arkansas,17958
Saline County,Arkansas,122437
Scott County,Arkansas,10281
Searcy County,Arkansas,7881
Sebastian County,Arkansas,127827
Sevier County,Arkansas,17007
Sharp County,Arkansas,17442
St. Francis County,Arkansas,24994
Stone County,Arkansas,12506
Union County,Arkansas,38682
Van Buren County,Arkansas,16545
Washington County,Arkansas,239187
White County,Arkansas,78753
Woodruff County,Arkansas,6320
Yell County,Arkansas,21341
Alameda County,California,1671329
Alpine County,California,1129
Amador County,California,39752
Butte County,California,219186
Calaveras County,California,45905
Colusa County,California,21547
Contra Costa County,California,1153526
Del Norte County,California,27812
El Dorado County,California,192843
Fresno County,California,999101
Glenn County,California,28393
Humboldt County,California,135558
Imperial County,California,181215
Inyo County,California,18039
Kern County,California,900202
Kings County,California,152940
Lake County,California,64386
Lassen County,California,30573
Los Angeles County,California,10039107
Madera County,California,157327
Marin County,California,258826
Mariposa County,California,17203
Mendocino County,California,86749
Merced County,California,277680
Modoc County,California,8841
Mono County,California,14444
Monterey County,California,434061
Napa County,California,137744
Nevada County,California,99755
Orange County,California,3175692
Placer County,California,398329
Plumas County,California,18807
Riverside County,California,2470546
Sacramento County,California,1552058
San Benito County,California,62808
San Bernardino County,California,2180085
San Diego County,California,3338330
San Francisco County,California,881549
